ID1,ID2,Score,Match_Type
R006,R008,57,DIFFERENT
R006,R009,57,DIFFERENT
R006,R010,57,DIFFERENT
R006,R011,57,DIFFERENT
R006,R012,57,DIFFERENT
R006,R013,58,DIFFERENT
R006,R014,57,DIFFERENT
R006,R015,66,DIFFERENT
R006,R016,66,DIFFERENT
R006,R017,66,DIFFERENT
R006,R018,66,DIFFERENT
R006,R019,66,DIFFERENT
R006,R020,66,DIFFERENT
R006,R021,66,DIFFERENT
R006,R022,36,DIFFERENT
R006,R023,37,DIFFERENT
R006,R024,36,DIFFERENT
R006,R025,36,DIFFERENT
R006,R026,33,DIFFERENT
R006,R027,36,DIFFERENT
R006,R028,36,DIFFERENT
R006,R029,41,DIFFERENT
R006,R030,40,DIFFERENT
R006,R031,40,DIFFERENT
R006,R032,40,DIFFERENT
R006,R033,40,DIFFERENT
R006,R034,40,DIFFERENT
R006,R035,40,DIFFERENT
R006,R036,23,DIFFERENT
R006,R037,23,DIFFERENT
R006,R038,28,DIFFERENT
R006,R039,23,DIFFERENT
R006,R040,23,DIFFERENT
R006,R041,23,DIFFERENT
R006,R042,23,DIFFERENT
R006,R043,46,DIFFERENT
R006,R044,43,DIFFERENT
R006,R045,46,DIFFERENT
R006,R046,46,DIFFERENT
R006,R047,46,DIFFERENT
R006,R048,46,DIFFERENT
R006,R049,46,DIFFERENT
R006,R050,42,DIFFERENT
R006,R051,42,DIFFERENT
R006,R052,42,DIFFERENT
R006,R053,42,DIFFERENT
R006,R054,42,DIFFERENT
R006,R055,42,DIFFERENT
R006,R056,42,DIFFERENT
R006,R057,70,DIFFERENT
R006,R058,70,DIFFERENT
R006,R059,70,DIFFERENT
R006,R060,70,DIFFERENT
R006,R061,61,DIFFERENT
R006,R062,70,DIFFERENT
R006,R063,70,DIFFERENT
R006,R064,57,DIFFERENT
R006,R065,57,DIFFERENT
R006,R066,57,DIFFERENT
R006,R067,57,DIFFERENT
R006,R068,57,DIFFERENT
R006,R069,57,DIFFERENT
R006,R070,57,DIFFERENT
R006,R071,49,DIFFERENT
R006,R072,49,DIFFERENT
R006,R073,49,DIFFERENT
R006,R074,49,DIFFERENT
R006,R075,49,DIFFERENT
R006,R076,50,DIFFERENT
R006,R077,49,DIFFERENT
R006,R078,48,DIFFERENT
R006,R079,49,DIFFERENT
R006,R080,48,DIFFERENT
R006,R081,48,DIFFERENT
R006,R082,49,DIFFERENT
R006,R083,49,DIFFERENT
R006,R084,48,DIFFERENT
R006,R085,33,DIFFERENT
R006,R086,33,DIFFERENT
R006,R087,33,DIFFERENT
R006,R088,33,DIFFERENT
R006,R089,33,DIFFERENT
R006,R090,33,DIFFERENT
R006,R091,33,DIFFERENT
R006,R092,50,DIFFERENT
R006,R093,50,DIFFERENT
R006,R094,50,DIFFERENT
R006,R095,51,DIFFERENT
R006,R096,50,DIFFERENT
R006,R097,50,DIFFERENT
R006,R098,51,DIFFERENT
R006,R099,52,DIFFERENT
R006,R100,52,DIFFERENT
R007,R008,57,DIFFERENT
R007,R009,57,DIFFERENT
R007,R010,57,DIFFERENT
R007,R011,57,DIFFERENT
R007,R012,57,DIFFERENT
R007,R013,58,DIFFERENT
R007,R014,57,DIFFERENT
R007,R015,66,DIFFERENT
R007,R016,66,DIFFERENT
R007,R017,66,DIFFERENT
R007,R018,66,DIFFERENT
R007,R019,66,DIFFERENT
R007,R020,66,DIFFERENT
R007,R021,66,DIFFERENT
R007,R022,36,DIFFERENT
R007,R023,37,DIFFERENT
R007,R024,36,DIFFERENT
R007,R025,36,DIFFERENT
R007,R026,33,DIFFERENT
R007,R027,36,DIFFERENT
R007,R028,36,DIFFERENT
R007,R029,41,DIFFERENT
R007,R030,40,DIFFERENT
R007,R031,40,DIFFERENT
R007,R032,40,DIFFERENT
R007,R033,40,DIFFERENT
R007,R034,40,DIFFERENT
R007,R035,40,DIFFERENT
R007,R036,23,DIFFERENT
R007,R037,23,DIFFERENT
R007,R038,28,DIFFERENT
R007,R039,23,DIFFERENT
R007,R040,23,DIFFERENT
R007,R041,23,DIFFERENT
R007,R042,23,DIFFERENT
R007,R043,46,DIFFERENT
R007,R044,43,DIFFERENT
R007,R045,46,DIFFERENT
R007,R046,46,DIFFERENT
R007,R047,46,DIFFERENT
R007,R048,46,DIFFERENT
R007,R049,46,DIFFERENT
R007,R050,42,DIFFERENT
R007,R051,42,DIFFERENT
R007,R052,42,DIFFERENT
R007,R053,42,DIFFERENT
R007,R054,42,DIFFERENT
R007,R055,42,DIFFERENT
R007,R056,42,DIFFERENT
R007,R057,70,DIFFERENT
R007,R058,70,DIFFERENT
R007,R059,70,DIFFERENT
R007,R060,70,DIFFERENT
R007,R061,61,DIFFERENT
R007,R062,70,DIFFERENT
R007,R063,70,DIFFERENT
R007,R064,57,DIFFERENT
R007,R065,57,DIFFERENT
R007,R066,57,DIFFERENT
R007,R067,57,DIFFERENT
R007,R068,57,DIFFERENT
R007,R069,57,DIFFERENT
R007,R070,57,DIFFERENT
R007,R071,49,DIFFERENT
R007,R072,49,DIFFERENT
R007,R073,49,DIFFERENT
R007,R074,49,DIFFERENT
R007,R075,49,DIFFERENT
R007,R076,50,DIFFERENT
R007,R077,49,DIFFERENT
R007,R078,48,DIFFERENT
R007,R079,49,DIFFERENT
R007,R080,48,DIFFERENT
R007,R081,48,DIFFERENT
R007,R082,49,DIFFERENT
R007,R083,49,DIFFERENT
R007,R084,48,DIFFERENT
R007,R085,33,DIFFERENT
R007,R086,33,DIFFERENT
R007,R087,33,DIFFERENT
R007,R088,33,DIFFERENT
R007,R089,33,DIFFERENT
R007,R090,33,DIFFERENT
R007,R091,33,DIFFERENT
R007,R092,50,DIFFERENT
R007,R093,50,DIFFERENT
R007,R094,50,DIFFERENT
R007,R095,51,DIFFERENT
R007,R096,50,DIFFERENT
R007,R097,50,DIFFERENT
R007,R098,51,DIFFERENT
R007,R099,52,DIFFERENT
R007,R100,52,DIFFERENT
R008,R009,100,DUPLICATE
R008,R010,100,DUPLICATE
R008,R011,100,DUPLICATE
R008,R012,100,DUPLICATE
R008,R013,98,DUPLICATE
R008,R014,100,DUPLICATE
R008,R015,47,DIFFERENT
R008,R016,47,DIFFERENT
R008,R017,47,DIFFERENT
R008,R018,47,DIFFERENT
R008,R019,47,DIFFERENT
R008,R020,47,DIFFERENT
R008,R021,47,DIFFERENT
R008,R022,38,DIFFERENT
R008,R023,38,DIFFERENT
R008,R024,38,DIFFERENT
R008,R025,38,DIFFERENT
R008,R026,38,DIFFERENT
R008,R027,38,DIFFERENT
R008,R028,38,DIFFERENT
R008,R029,48,DIFFERENT
R008,R030,47,DIFFERENT
R008,R031,47,DIFFERENT
R008,R032,47,DIFFERENT
R008,R033,47,DIFFERENT
R008,R034,47,DIFFERENT
R008,R035,47,DIFFERENT
R008,R036,33,DIFFERENT
R008,R037,33,DIFFERENT
R008,R038,43,DIFFERENT
R008,R039,33,DIFFERENT
R008,R040,34,DIFFERENT
R008,R041,33,DIFFERENT
R008,R042,33,DIFFERENT
R008,R043,53,DIFFERENT
